Victor
Smirnov
e7302a803b16771aadf2fa464b31ca6f
[24.4.2023 | 21:20:16] {"type":"cmd","data":"run"}
,[24.4.2023 | 21:20:18] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":32768,"gpioe":0,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:18] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":32768,"gpioe":0,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:18] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":32768,"gpioe":0,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:18] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":32768,"gpioe":0,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:18] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":32768,"gpioe":0,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:18] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":32768,"gpioe":0,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:18] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":32832,"gpioe":4096,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:18] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":32832,"gpioe":4096,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:18] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":32832,"gpioe":4096,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:19] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":32832,"gpioe":4096,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:19] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":32832,"gpioe":4096,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:19] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":32832,"gpioe":4096,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:19] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":32832,"gpioe":4096,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:19] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":32832,"gpioe":4096,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:19] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":32832,"gpioe":4096,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:19] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":32832,"gpioe":4096,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:19] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":32832,"gpioe":4096,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:19] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8256,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:19] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8256,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:20] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8256,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:20] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8200,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:20] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8200,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:20] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8200,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:20] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8200,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:20] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8200,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:20] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8216,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:20] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8216,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:20] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8216,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:20] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8216,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:21] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8216,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:21] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8248,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:21] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8248,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:21] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8248,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:21] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8248,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:21] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8248,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:21] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8312,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:21] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8312,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:21] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8312,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:21] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8312,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:22] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8312,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:22] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8568,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:22] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8568,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:22] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8568,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:22] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8568,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:22] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8568,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:22] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":9080,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:22] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":9080,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:22] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":9080,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:23] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":9080,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:23] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":9080,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:23] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":11128,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:23] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":11128,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:23] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":11128,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:23] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":11128,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:23] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":11128,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:23] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":15224,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:23] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":15224,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:23] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":15224,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:24] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":15224,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:24] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":15224,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:24] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":11128,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:24] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":11128,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:24] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":11128,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:24] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":11128,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:24] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":11128,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:24] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":9080,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:24] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":9080,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:24] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":9080,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:25] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":9080,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:25] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":9080,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:25] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8568,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:25] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8568,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:25] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8568,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:25] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8568,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:25] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8568,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:25] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8312,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:25] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8312,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:25] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8312,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:26] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8312,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:26] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8312,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:26] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8248,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:26] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8248,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:26] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8248,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:26] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8248,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:26] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8248,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:26] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8216,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:26] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8216,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:26] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8216,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:27] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8216,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:27] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8216,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:27] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8200,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:27] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8200,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:27] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8200,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:27] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8200,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:27] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8200,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:27] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8216,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:27] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8216,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:27] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8216,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:28] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8216,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:28] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8216,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:28] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8248,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:28] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8248,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:28] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8248,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:28] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8248,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:28] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8248,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:28] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":8312,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:28] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":0,"gpiod":8312,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:28] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":0,"gpiod":8312,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:29] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":0,"gpiod":8312,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:29] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":0,"gpiod":8312,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:29] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":0,"gpiod":16760,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:29] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16760,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:29] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16760,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:29] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16760,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:29] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16760,"gpioe":4352,"modeltime":0,"type":"gpio"}
,[24.4.2023 | 21:20:29] {"client-id":"458139a0-f182-4a80-8b9a-a4501db3f42f","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":17272,"gpioe":4352,"modeltime":0,"type":"gpio"}
